Benchmark,Collection,Tag,Buggy?,Correct Result?,Time(s),RunTime Error,Category,Notes,Pipeline
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/Bad label/ladder4.sh,evaluation_pipelines/Bad label,,True,True,0.00356197s,,Bad label,,find | xargs stat -c %Y | sort -n | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/Bad label/ladder6.sh,evaluation_pipelines/Bad label,,True,True,0.00166941s,,Bad label,,ls *.log | xargs rm
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/0.sh,evaluation_pipelines/invalid,,True,True,0.00239158s,,,,"grep -oE ""[0-9A-Fa-f]+"" a.txt | tr A-F a-f | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/1.sh,evaluation_pipelines/invalid,,True,True,0.00222373s,,,,seq 2 100 | xargs -n 1 expr 1 + | grep grep
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/2.sh,evaluation_pipelines/invalid,,True,True,0.00555038s,,,,"grep -oE ""[0-9a-f]+"" a.txt | grep -vwE ""0"" | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/2_1.sh,evaluation_pipelines/invalid,,True,True,0.00149059s,,,,"grep -oE ""[0-9a-f]+"" a.txt | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/3.sh,evaluation_pipelines/invalid,,True,True,0.00264788s,,,,"seq 1 10 | sed ""s;^;;"" | xargs curl | wc -l"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/4.sh,evaluation_pipelines/invalid,,True,True,0.00954461s,,,,"docker network inspect ${network_id} | grep ""EndpointIP\\\|VIP"" | cut -d"":"" -f2 | sort | uniq | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/5.sh,evaluation_pipelines/invalid,,True,True,0.00478721s,,,,"cat a.txt | tr -cs A-Za-z ""\\n"" | tr A-Z a-z | sort | uniq | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/6.sh,evaluation_pipelines/invalid,,True,True,0.00139546s,,,,"seq 10 | grep -oE ""[0-9a-f]+"" | head -n 5 | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder1.sh,evaluation_pipelines/invalid,,True,True,0.00079322s,,,,cat foo | cp bar
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder3.sh,evaluation_pipelines/invalid,,True,True,0.00172782s,,,,echo -n ${PATH} | xargs stat -c %x
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder4_1.sh,evaluation_pipelines/invalid,,True,True,0.00190067s,,,,find | xargs stat -c %y | sort -n | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder4_2.sh,evaluation_pipelines/invalid,,True,True,0.00170684s,,,,find | xargs stat -c %Y | sort | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder6.sh,evaluation_pipelines/invalid,,True,True,0.00504255s,,,,ls -l *.log | xargs rm
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder7.sh,evaluation_pipelines/invalid,,True,False,0.00132179s,,Wrong semantic,,date +%S | xargs expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/3.sh,evaluation_pipelines/valid,,False,True,0.00382018s,,,,"seq 1 10 | sed ""s;^;http://data\\.com/chunk/;"" | xargs curl | wc -l"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/4.sh,evaluation_pipelines/valid,,False,True,0.01523018s,,,,"docker network inspect ${network_id} | grep ""EndpointIP\\\|VIP"" | cut -d"":"" -f2 | sort | uniq -c | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/5.sh,evaluation_pipelines/valid,,False,True,0.00870156s,,,,"cat a.txt | tr -cs A-Za-z ""\\n"" | tr A-Z a-z | sort | uniq -c | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder1.sh,evaluation_pipelines/valid,,False,True,0.00086999s,,,,cat foo | xargs cp bar
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder3.sh,evaluation_pipelines/valid,,False,False,0.00186825s,,Unsupported invocation,,echo -n ${PATH} | xargs -d : stat -c %x
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder7.sh,evaluation_pipelines/valid,,False,True,0.00114918s,,,,date +%s | xargs expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder8.sh,evaluation_pipelines/valid,,False,True,0.00146651s,,,,seq 10 | head -3 | xargs -n 1 expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/12.sh_Pcat-1-tr-_e94c7360d146727f8cea61088329242b_M11.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00703812s,,Unsupported invocation,"dropped grep, should be detectable","cat ${1} | tr "" "" ""\\n"" | cut -d ""."" -f 2 | cut -c 1-1 | tr ""[a-z]"" ""P"" | sort -r | uniq | head -n 3 | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold1.sh_Pecho-http-ww_f50c102f66c147024f85c1b1ba6817fa_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00106359s,,,,"cut -d""/"" -f3 | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold2.sh_Pecho-http-ww_02c4a63ceddd2addf37a03f1fb293390_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00397754s,,,,"sed -E ""s|https?://([^/]+).*|\\1|"" | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M13.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00156665s,,,,yes | head -n10 | grep . | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M16.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00200152s,,,,yes | head -n10 | grep -n . | cut -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M2.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00271201s,,,,yes | head -n10 | cut -d: -f1 | grep -n . | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M6.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00208497s,,,,yes | head -n10 | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold1.sh_Pecho-Hello-w_c9ec3c3d481dca015a14816cb0e84673_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00081563s,,,,"tr -cd "";0-9"" | echo ""  Hello world;876	  """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold2.sh_Pecho-Hello-w_fa4852946002af878f2a6fede3f9123a_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00105834s,,,,"sed ""s/[^0-9;]//g"" | echo ""  Hello world;876     """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold1.sh_Pecho-Hello-w_96f21bc281f02ee23fd8960bc2182331_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00186801s,,,,"sed -e ""s/^[ \\t]*//"" | echo ""  Hello world!	  "" | sed -e ""s/[ \\t]*\$//"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold2.sh_Pecho-n-Hell_52100d70d8adb9ee20caef7d874a7501_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00240803s,,,,"sed ""s/^[ \\t]*//;s/[ \\t]*\$//"" | echo -n ""  Hello world!    """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_166_gold1.sh_Pecho-987654321-_7ca77aa3fa6fb0dc449962855c84c07c_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00088072s,,,,rev | echo 987654321 | cut -c 4- | rev
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_166_gold2.sh_Pecho-987654321_8ef437b93e4de9ebba36e8fc9da9cb0d_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00096369s,,,,"sed ""s/...\$//"" | echo ""987654321"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_171_gold1.sh_Pseq-s-100-t_bc9c9ab9158e00ec8367c6be7e8ce27e_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00075746s,,,,"tr -d ""[:digit:]"" | seq -s= 100"
